query,subject,identity,alignment length,mismatches,gap opens,q start,q end,s start,s end,evalue,bit score
IGL,IGLV9-84*01,100.000,317,0,0,511323,511639,1,317,7.81e-142,504
IGL,IGLV9-84*01,72.401,279,74,1,276663,276938,1,279,4.08e-42,172
IGL,IGLV9-84*01,69.534,279,82,1,1114544,1114819,3,281,1.76e-34,147
IGL,IGLV9-84*01,71.351,185,53,0,25328,25512,1,185,2.80e-28,126
IGL,IGLV9-84*01,73.228,127,34,0,1056530,1056656,5,131,9.77e-19,95.1
IGL,IGLV9-84*01,80.460,87,17,0,164327,164413,1,87,7.12e-16,85.6
IGL,IGLV9-84*01,79.310,87,18,0,249447,249533,1,87,6.41e-15,82.4
IGL,IGLV9-84*01,79.310,87,18,0,268773,268859,1,87,6.41e-15,82.4
IGL,IGLV9-84*01,78.161,87,19,0,297549,297635,1,87,5.77e-14,79.2
IGL,IGLV9-84*01,78.161,87,19,0,557893,557979,1,87,5.77e-14,79.2
IGL,IGLV9-84*01,77.011,87,20,0,518070,518156,1,87,5.19e-13,76.1
IGL,IGLV9-84*01,77.778,81,18,0,583145,583225,1,81,4.67e-12,72.9
IGL,IGLV9-84*01,72.414,145,37,2,236740,236881,1,145,4.20e-11,69.7
IGL,IGLV9-84*01,76.543,81,19,0,431931,432011,1,81,4.20e-11,69.7
IGL,IGLV9-84*01,75.309,81,20,0,484902,484982,1,81,3.78e-10,66.6
IGL,IGLV9-84*01,77.778,72,16,0,92286,92357,6,77,1.13e-09,65.0
IGL,IGLV9-84*01,75.325,77,19,0,179936,180012,1,77,3.40e-09,63.4
IGL,IGLV9-84*01,72.414,87,24,0,16239,16325,87,1,3.40e-09,63.4
IGL,IGLV9-84*01,65.323,124,43,0,1236704,1236827,184,307,1.02e-08,61.8
IGL,IGLV9-84*01,78.824,85,16,1,96130,96212,1,85,9.19e-08,58.6
IGL,IGLV9-84*01,71.250,80,23,0,631644,631723,2,81,8.27e-07,55.5
IGL,IGLV9-84*01,70.370,81,24,0,536337,536417,1,81,2.48e-06,53.9
IGL,IGLV9-84*01,69.620,79,24,0,10144,10222,1,79,2.23e-05,50.7
IGL,IGLV9-84*01,72.059,68,19,0,1013268,1013335,1,68,6.70e-05,49.1
IGL,IGLV9-84*01,72.059,68,19,0,1123971,1124038,1,68,6.70e-05,49.1
IGL,IGLV9-84*01,65.957,94,32,0,904747,904840,188,281,6.70e-05,49.1
IGL,IGLV9-84*01,64.948,97,34,0,26501,26597,183,279,2.01e-04,47.5
IGL,IGLV9-84*01,65.934,91,31,0,1013446,1013536,188,278,2.01e-04,47.5
IGL,IGLV9-84*01,70.588,68,20,0,904569,904636,1,68,6.03e-04,46.0
IGL,IGLV9-84*01,64.583,96,34,0,893775,893870,184,279,6.03e-04,46.0
IGL,IGLV9-84*01,64.583,96,34,0,937949,938044,184,279,6.03e-04,46.0
IGL,IGLV9-84*01,64.583,96,34,0,966782,966877,184,279,6.03e-04,46.0
IGL,IGLV9-84*01,64.583,96,34,0,1001323,1001418,184,279,6.03e-04,46.0
IGL,IGLV9-84*01,65.217,92,32,0,855120,855211,188,279,6.03e-04,46.0
IGL,IGLV9-84*01,65.217,92,32,0,1095207,1095298,188,279,6.03e-04,46.0
IGL,IGLV9-84*01,65.882,85,29,0,262286,262370,1,85,0.002,44.4
IGL,IGLV9-84*01,63.918,97,35,0,958485,958581,183,279,0.002,44.4
IGL,IGLV9-84*01,64.835,91,32,0,948900,948990,188,278,0.002,44.4
IGL,IGLV9-84*01,64.835,91,32,0,1037074,1037164,188,278,0.002,44.4
IGL,IGLV9-84*01,69.118,68,21,0,187464,187531,1,68,0.005,42.8
IGL,IGLV9-84*01,69.118,68,21,0,948722,948789,1,68,0.005,42.8
IGL,IGLV9-84*01,69.697,66,20,0,992786,992851,1,66,0.005,42.8
IGL,IGLV9-84*01,63.542,96,35,0,867559,867654,184,279,0.005,42.8
IGL,IGLV9-84*01,63.542,96,35,0,917045,917140,184,279,0.005,42.8
IGL,IGLV9-84*01,64.706,85,30,0,541242,541326,1,85,0.016,41.2
IGL,IGLV9-84*01,65.432,81,28,0,192633,192713,2,82,0.016,41.2
IGL,IGLV9-84*01,67.123,73,24,0,26329,26401,2,74,0.016,41.2
