imgt_start,imgt_end,digger_start,digger_end,imgt_allele,digger_allele,imgt_func,digger_func,call_matches,func_matches,seq_matches,start_matches,digger_notes,imgt_l_part1,digger_l_part1,imgt_l_part2,digger_l_part2,imgt_heptamer,digger_heptamer,imgt_nonamer,digger_nonamer
0,1004501,,,IGLV(I)-24*01,,pseudo,,No,No,No,No,,,,,,,,,
,,14220,14258,,IGLJ3*01,,pseudo,No,No,No,No,"Gene reversed, J-TRP not found",,,,,,,,
16001,16325,,,IGLV(IV)-127*01,,pseudo,,No,No,No,No,,,,,,,,,
26328,26623,,,IGLV8-125*01,,functional,,No,No,No,No,,,,,,,,,
,,41826,41862,,IGLJ1*01,,pseudo,No,No,No,No,"Gene reversed, J-TRP not found",,,,,,,,
,,65715,66008,,IGLV5-103*01,,pseudo,No,No,No,No,"Gene reversed, Stop codon in V-REGION before 2nd cysteine, Nonamer not found, BLAST alignment was truncated",,,,,,,,
77810,78108,,,IGLV1-123*01,,pseudo,,No,No,No,No,,,,,,,,,
79716,80014,,,IGLV1-122*01,,pseudo,,No,No,No,No,,,,,,,,,
92280,92597,,,IGLV5-120*01,,pseudo,,No,No,No,No,,,,,,,,,
96130,96435,,,IGLV5-119*01,,pseudo,,No,No,No,No,,,,,,,,,
164327,164638,,,IGLV11-117*01,,functional,,No,No,No,No,,,,,,,,,
172458,172751,,,IGLV(III)-116*01,,pseudo,,No,No,No,No,,,,,,,,,
187464,187759,,,IGLV10-114*01,,functional,,No,No,No,No,,,,,,,,,
197545,197843,,,IGLV6-112*01,,functional,,No,No,No,No,,,,,,,,,
208592,208890,,,IGLV6-110*01,,functional,,No,No,No,No,,,,,,,,,
218908,219185,,,IGLV1-109*01,,pseudo,,No,No,No,No,,,,,,,,,
233980,234293,,,IGLV5-106*01,,pseudo,,No,No,No,No,,,,,,,,,
245818,246126,,,IGLV5-104*01,,pseudo,,No,No,No,No,,,,,,,,,
249447,249758,,,IGLV5-103*01,,functional,,No,No,No,No,,,,,,,,,
256777,257073,,,IGLV1-101*01,,pseudo,,No,No,No,No,,,,,,,,,
262286,262584,,,IGLV1-100*01,,pseudo,,No,No,No,No,,,,,,,,,
268773,269089,,,IGLV5-99*01,,ORF,,No,No,No,No,,,,,,,,,
273675,273966,,,IGLV7-98*01,,pseudo,,No,No,No,No,,,,,,,,,
276663,276961,,,IGLV4-97*01,,functional,,No,No,No,No,,,,,,,,,
,,280239,280550,,IGLV3-2*01,,pseudo,No,No,No,No,"Gene reversed, Leader not found, Stop codon in leader, Stop codon in V-REGION before 2nd cysteine, BLAST alignment was truncated",,,,,,,,
289044,289330,,,IGLV6-96*01,,pseudo,,No,No,No,No,,,,,,,,,
297549,297865,,,IGLV5-95*01,,functional,,No,No,No,No,,,,,,,,,
300001,300305,,,IGLV6-94*01,,pseudo,,No,No,No,No,,,,,,,,,
431931,432245,,,IGLV5-93*01,,pseudo,,No,No,No,No,,,,,,,,,
441681,441979,,,IGLV6-92*01,,functional,,No,No,No,No,,,,,,,,,
444047,444338,,,IGLV(I)-91*01,,pseudo,,No,No,No,No,,,,,,,,,
446318,446631,,,IGLV5-90*01,,pseudo,,No,No,No,No,,,,,,,,,
480388,480681,,,IGLV7-88*01,,functional,,No,No,No,No,,,,,,,,,
484902,485213,,,IGLV5-87*01,,functional,,No,No,No,No,,,,,,,,,
489715,490010,,,IGLV1-86*01,,functional,,No,No,No,No,,,,,,,,,
495054,495349,,,IGLV1-85*01,,functional,,No,No,No,No,,,,,,,,,
511323,511639,,,IGLV9-84*01,,functional,,No,No,No,No,,,,,,,,,
518070,518381,,,IGLV5-83*01,,functional,,No,No,No,No,,,,,,,,,
519465,519780,,,IGLV(I)-82*01,,pseudo,,No,No,No,No,,,,,,,,,
522710,523005,,,IGLV1-81*01,,functional,,No,No,No,No,,,,,,,,,
531715,532008,,,IGLV7-80*01,,functional,,No,No,No,No,,,,,,,,,
536337,536647,,,IGLV5-79*01,,pseudo,,No,No,No,No,,,,,,,,,
537752,538066,,,IGLV(I)-78*01,,pseudo,,No,No,No,No,,,,,,,,,
541242,541537,,,IGLV1-77*01,,functional,,No,No,No,No,,,,,,,,,
550314,550607,,,IGLV7-76*01,,functional,,No,No,No,No,,,,,,,,,
557893,558204,,,IGLV5-74*01,,functional,,No,No,No,No,,,,,,,,,
562725,563020,,,IGLV1-72*01,,functional,,No,No,No,No,,,,,,,,,
575839,576132,,,IGLV7-71*01,,functional,,No,No,No,No,,,,,,,,,
583145,583456,,,IGLV5-69*01,,functional,,No,No,No,No,,,,,,,,,
588263,588546,,,IGLV(I)-68*01,,pseudo,,No,No,No,No,,,,,,,,,
593859,594154,,,IGLV1-67*01,,functional,,No,No,No,No,,,,,,,,,
598032,598327,,,IGLV1-66*01,,functional,,No,No,No,No,,,,,,,,,
603040,603335,,,IGLV1-65*01,,functional,,No,No,No,No,,,,,,,,,
608864,609159,,,IGLV1-64*01,,functional,,No,No,No,No,,,,,,,,,
,,624990,625030,,IGLJ7*01,,pseudo,No,No,No,No,"Gene reversed, J-TRP not found",,,,,,,,
631643,631954,,,IGLV5-62*01,,functional,,No,No,No,No,,,,,,,,,
633063,633376,,,IGLV(I)-61*01,,pseudo,,No,No,No,No,,,,,,,,,
636192,636487,,,IGLV1-60*01,,functional,,No,No,No,No,,,,,,,,,
654221,654514,,,IGLV7-59*01,,pseudo,,No,No,No,No,,,,,,,,,
674097,674405,,,IGLV5-57*01,,pseudo,,No,No,No,No,,,,,,,,,
,,684799,685088,,IGLV1S4*01,,pseudo,No,No,No,No,"Gene reversed, Stop codon in V-REGION before 2nd cysteine, Nonamer not found, BLAST alignment was truncated",,,,,,,,
687313,687603,,,IGLV7-56*01,,pseudo,,No,No,No,No,,,,,,,,,
701509,701802,,,IGLV7-55*01,,pseudo,,No,No,No,No,,,,,,,,,
,,786738,787053,,IGLV8-125*02,,pseudo,No,No,No,No,"Gene reversed, Leader not found, Stop codon in leader, Stop codon in V-REGION before 2nd cysteine, Nonamer not found, BLAST alignment was truncated",,,,,,,,
